gene_name,prediction,score,Pfam,PANTHER,SUPERFAMILY
CG31559,True,0.6346,"GRXCR1, C-terminal",GLUTAREDOXIN DOMAIN-CONTAINING CYSTEINE-RICH PROTEIN 1,Thioredoxin-like
CG10979,True,0.518,Zinc-finger of C2H2 type,ZINC FINGER PROTEIN 800,N/A
Snr1,True,0.9608,"SWI/SNF Subunit INI1, DNA binding domain",SNF5,N/A
cas,True,0.9791,N/A,TRANSCRIPTION FACTOR CASTOR  PROTEIN MING -RELATED,N/A
MTA1-like,True,0.9863,MTA R1 domain,METASTASIS-ASSOCIATED PROTEIN AND MESODERM INDUCTION EARLY RESPONSE PROTEIN,Homeodomain-like
CG1113,True,0.9254,N/A,N/A,N/A
CG31542,True,0.6039,N/A,N/A,N/A
Polr2F,True,0.9873,RNA polymerase Rpb6,DNA-DIRECTED RNA POLYMERASE SUBUNIT K,RPB6/omega subunit-like
CG14668,True,0.5638,N/A,N/A,N/A
corto,True,0.8609,N/A,N/A,N/A
CG14655,True,0.9951,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN 200,beta-beta-alpha zinc fingers
Skp2,True,0.8893,F-box-like,F-BOX/TPR REPEAT PROTEIN POF3,RNI-like
vri,True,0.9986,Basic region leucine zipper,NUCLEAR FACTOR INTERLEUKIN-3-REGULATED PROTEIN,Leucine zipper domain
H15,True,0.9995,T-box,T-BOX PROTEIN-RELATED,p53-like transcription factors
sip1,True,0.9069,GC-rich sequence DNA-binding factor-like protein,TUFTELIN-INTERACTING PROTEIN 11-RELATED,N/A
CG7239,True,0.9154,Myb/SANT-like DNA-binding domain,MYB_SANT-LIKE DNA-BINDING DOMAIN-CONTAINING PROTEIN 1,N/A
dsf,True,0.9949,"Double treble clef zinc finger, C4 type",NUCLEAR HORMONE RECEPTOR,Glucocorticoid receptor-like (DNA-binding domain)
Acp26Aa,True,0.829,Male accessory gland secretory protein,N/A,N/A
CG31642,True,0.8628,"Zinc finger, ZZ type",E3 UBIQUITIN-PROTEIN LIGASE KCMF1,RING/U-box
Muc26B,True,0.6472,Chitin binding Peritrophin-A domain,MUCIN 26B,Invertebrate chitin-binding proteins
H2.0,True,0.9945,Homeodomain,H2.0-LIKE HOMEOBOX PROTEIN,Homeodomain-like
CG13992,True,0.6548,N/A,N/A,N/A
CG13982,True,0.5352,N/A,N/A,N/A
Phf5a,True,0.6695,PHF5-like protein,PHD FINGER-LIKE DOMAIN-CONTAINING PROTEIN 5A,N/A
Rchy1,True,0.6249,Zinc-ribbon,RING FINGER AND CHY ZINC FINGER DOMAIN-CONTAINING PROTEIN 1,RING/U-box
sens-2,True,0.9836,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG13775,True,0.8689,BED zinc finger,ZINC FINGER BED DOMAIN-CONTAINING PROTEIN 4,beta-beta-alpha zinc fingers
CG4496,True,0.9936,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG31908,True,0.7601,SUZ-C motif,SUZ DOMAIN-CONTAINING PROTEIN 1,N/A
Trf,True,0.8542,"Transcription factor TFIID (or TATA-binding protein, TBP)",TATA-BOX BINDING PROTEIN,TATA-box binding protein-like
spz3,True,0.58,Spaetzle,NEUROTROPHIN 1-RELATED,Cystine-knot cytokines
SoxN,True,0.9996,SOX transcription factor,SOX TRANSCRIPTION FACTOR,HMG-box
Hnf4,True,0.9932,Ligand-binding domain of nuclear hormone receptor,NUCLEAR HORMONE RECEPTOR,Glucocorticoid receptor-like (DNA-binding domain)
CG13108,True,0.818,N/A,N/A,N/A
borr,True,0.7704,Cell division cycle-associated protein 8,"AUSTRALIN, ISOFORM A-RELATED",N/A
numb,True,0.8162,NUMB domain,NUMB,PH domain-like
gcm2,True,0.9941,GCM motif protein,GLIAL CELLS MISSING RELATED/GLIDE,GCM domain
gcm,True,0.9865,GCM motif protein,GLIAL CELLS MISSING RELATED/GLIDE,GCM domain
CG31709,True,0.9886,N/A,N/A,N/A
CG13123,True,0.8667,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS,beta-beta-alpha zinc fingers
GATAd,True,0.8827,GATA zinc finger,TRANSCRIPTION FACTOR GATA FAMILY MEMBER,Glucocorticoid receptor-like (DNA-binding domain)
TfIIB,True,0.9854,Transcription factor TFIIB repeat,TRANSCRIPTION INITIATION FACTOR IIB-RELATED,Cyclin-like
pie,True,0.6949,PHD-like zinc-binding domain,PHD FINGER PROTEIN,FYVE/PHD zinc finger
Hand,True,0.7746,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, TWIST","HLH, helix-loop-helix DNA-binding domain"
CG12299,True,0.9961,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG17124,True,0.8814,PKC-activated protein phosphatase-1 inhibitor,PROTEIN PHOSPHATASE 1 INHIBITOR POTENTIATED BY PROTEIN KINASE C,"Myosin phosphatase inhibitor 17kDa protein, CPI-17"
YL-1,True,0.9979,YL1 nuclear protein,YL-1 PROTEIN  TRANSCRIPTION FACTOR-LIKE 1,N/A
CG12253,True,0.6278,DDE superfamily endonuclease,N/A,N/A
Samuel,True,0.6873,SAM domain (Sterile alpha motif),POLYCOMB GROUP PROTEIN,SAM/Pointed domain
CG14926,True,0.8065,N/A,N/A,N/A
crol,True,0.9551,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Mst33A,True,0.5221,N/A,N/A,N/A
Plzf,True,0.9757,BTB/POZ domain,TRANSCRIPTIONAL REPRESSOR CTCFL-RELATED,beta-beta-alpha zinc fingers
bru1,True,0.7108,RNA recognition motif,RNA BINDING PROTEIN,"RNA-binding domain, RBD"
CG6712,True,0.8508,Brix domain,U3 SMALL NUCLEOLAR RIBONUCLEOPROTEIN PROTEIN IMP4,Class II aaRS ABD-related
pdm2,True,0.9947,Pou domain - N-terminal to homeobox domain,POU DOMAIN,lambda repressor-like DNA-binding domains
kmg,True,0.9687,N/A,ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG16815,True,0.944,N/A,N/A,N/A
Mabi,True,0.8855,N/A,N/A,Leucine zipper domain
Ing5,True,0.8535,Inhibitor of growth proteins N-terminal histone-binding,INHIBITOR OF GROWTH PROTEIN,FYVE/PHD zinc finger
Polr2C,True,0.9117,RNA polymerase Rpb3/RpoA insert domain,DNA-DIRECTED RNA POLYMERASE,RBP11-like subunits of RNA polymerase
CenG1A,True,0.8588,Putative GTPase activating protein for Arf,CENTAURIN-GAMMA-1A,P-loop containing nucleoside triphosphate hydrolases
mTTF,True,0.8687,mTERF,"TRANSCRIPTION TERMINATION FACTOR, MITOCHONDRIAL",N/A
NC2beta,True,0.8961,N/A,N/A,N/A
Su(H),True,0.9887,Beta-trefoil DNA-binding domain,RECOMBINING BINDING PROTEIN SUPPRESSOR OF HAIRLESS,DNA-binding protein LAG-1 (CSL)
CG15269,True,0.9475,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
dao,True,0.633,N/A,SET AND MYND DOMAIN-CONTAINING PROTEIN 4,TPR-like
TfIIS,True,0.9854,TFIIS helical bundle-like domain,TRANSCRIPTION FACTOR S-II ZINC FINGER DOMAIN-CONTAINING PROTEIN,Zinc beta-ribbon
sna,True,0.9882,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
wor,True,0.9953,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
wek,True,0.9831,"Zinc finger, C2H2 type",KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
Tektin-A,True,0.9263,Tektin family,TEKTIN,N/A
BicC,True,0.5806,KH domain,SCP160,SAM/Pointed domain
CG17328,True,0.8954,C2H2-type zinc finger,ZINC FINGER PROTEIN ZIC AND GLI,beta-beta-alpha zinc fingers
crp,True,0.5924,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX ZIP TRANSCRIPTION FACTOR,"HLH, helix-loop-helix DNA-binding domain"
CG5953,True,0.9652,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN-CONTAINING PROTEIN-RELATED,N/A
her,True,0.6556,N/A,ZINC FINGER PROTEIN,N/A
CG15141,True,0.8509,Putative zinc finger in N-recognin (UBR box),E3 UBIQUITIN-PROTEIN LIGASE UBR7,FYVE/PHD zinc finger
Oli,True,0.9909,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX PROTEIN NEUROGENIN-RELATED,"HLH, helix-loop-helix DNA-binding domain"
Dif,True,0.9561,Rel homology DNA-binding domain,NUCLEAR FACTOR NF-KAPPA-B PROTEIN,p53-like transcription factors
Polr2J,True,0.6803,RNA polymerase Rpb3/Rpb11 dimerisation domain,"DNA-DIRECTED RNA POLYMERASE I,II,III",RBP11-like subunits of RNA polymerase
CG5674,True,0.8554,N/A,N/A,N/A
Socs36E,True,0.7283,SH2 domain,PHOSPHATIDYLINOSITOL 3-KINASE REGULATORY SUBUNIT,SH2 domain
CG15160,True,0.5263,Cell-cycle alteration and expression-elevated protein in tumour,CYCLIN-DEPENDENT KINASE INHIBITOR-RELATED PROTEIN,ENTH/VHS domain
amos,True,0.996,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX PROTEIN NEUROGENIN-RELATED,"HLH, helix-loop-helix DNA-binding domain"
tup,True,0.975,Homeodomain,INSULIN GENE ENHANCER PROTEIN,Homeodomain-like
ham,True,0.9924,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG10348,True,0.9778,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG10431,True,0.903,"Zinc finger, C2H2 type",AGAP005574-PA,Glucocorticoid receptor-like (DNA-binding domain)
Sidpn,True,0.9843,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, HES-RELATED","HLH, helix-loop-helix DNA-binding domain"
CG10492,True,0.7118,N/A,ZINC FINGER CCHC DOMAIN CONTAINING PROTEIN,N/A
Lim3,True,0.994,LIM domain,LIM/HOMEOBOX PROTEIN LHX,Glucocorticoid receptor-like (DNA-binding domain)
CG31797,True,0.7652,N/A,"CHASCON, ISOFORM D-RELATED",N/A
tj,True,0.9324,bZIP Maf transcription factor,TRANSCRIPTION FACTOR MAF,A DNA-binding domain in eukaryotic transcription factors
CG10366,True,0.8937,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
fs(2)ltoPP43,True,0.5231,Transcription factor Iwr1,RNA POLYMERASE II NUCLEAR LOCALIZATION PROTEIN SLC7A6OS-RELATED,N/A
spir,True,0.7209,Kinase non-catalytic C-lobe domain,SPIRE,FYVE/PHD zinc finger
Hr38,True,0.9973,"Double treble clef zinc finger, C4 type",NUCLEAR HORMONE RECEPTOR,Glucocorticoid receptor-like (DNA-binding domain)
cad,True,0.9978,Homeodomain,HOMEOBOX PROTEIN CDX,Homeodomain-like
CG8679,True,0.5926,LEM domain,ANKYRIN REPEAT AND LEM DOMAIN-CONTAINING PROTEIN 1,Ankyrin repeat
E2f2,True,0.9987,E2F/DP family winged-helix DNA-binding domain,TRANSCRIPTION FACTOR E2F,"""Winged helix"" DNA-binding domain"
dimm,True,0.9974,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX PROTEIN NEUROGENIN-RELATED,"HLH, helix-loop-helix DNA-binding domain"
Mondo,True,0.8868,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX ZIP TRANSCRIPTION FACTOR,"HLH, helix-loop-helix DNA-binding domain"
CG31493,True,0.541,N/A,N-ACETYLTRANSFERASE-RELATED,Acyl-CoA N-acyltransferases (Nat)
Fer1,True,0.7669,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, TWIST","HLH, helix-loop-helix DNA-binding domain"
Dfd,True,0.9919,Homeodomain,HOMEOTIC PROTEIN DEFORMED,Homeodomain-like
ftz,True,0.9931,"Fushi tarazu (FTZ), N-terminal region",HOMEOBOX PROTEIN HOX,Homeodomain-like
Scr,True,0.9943,Homeodomain,HOMEOTIC PROTEIN DEFORMED,Homeodomain-like
zen,True,0.9973,Homeodomain,PROTEIN ZERKNUELLT 1-RELATED,Homeodomain-like
zen2,True,0.9826,Homeodomain,PROTEIN ZERKNUELLT 1-RELATED,Homeodomain-like
Hr83,True,0.9361,"Double treble clef zinc finger, C4 type",NUCLEAR HORMONE RECEPTOR,Nuclear receptor ligand-binding domain
Zif,True,0.9889,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
Taf7,True,0.9931,TAFII55 protein conserved region,TRANSCRIPTION INITIATION FACTOR TFIID 55 KD SUBUNIT-RELATED,N/A
kipf,True,0.9751,C2H2-type zinc finger,ZINC FINGER PROTEIN 200,beta-beta-alpha zinc fingers
dsx,True,0.9068,DM DNA binding domain,DOUBLESEX AND MAB-3 RELATED TRANSCRIPTION FACTOR  DMRT,"Cysteine-rich DNA binding domain, (DM domain)"
CG7900,True,0.6197,Amidase,FATTY-ACID AMIDE HYDROLASE,Amidase signature (AS) enzymes
grn,True,0.9821,GATA zinc finger,TRANSCRIPTION FACTOR GATA FAMILY MEMBER,Glucocorticoid receptor-like (DNA-binding domain)
CG10435,True,0.5311,N/A,LD44032P,UBA-like
ato,True,0.9983,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX PROTEIN NEUROGENIN-RELATED,"HLH, helix-loop-helix DNA-binding domain"
mRpL1,True,0.813,Ribosomal protein L1p/L10e family,"54S RIBOSOMAL PROTEIN L1, MITOCHONDRIAL",Ribosomal protein L1
Arl2,True,0.8809,ADP-ribosylation factor family,ADP-RIBOSYLATION FACTOR-LIKE PROTEIN 2-RELATED,P-loop containing nucleoside triphosphate hydrolases
CG7963,True,0.8349,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Poxm,True,0.9987,'Paired box' domain,PAIRED BOX PROTEIN PAX-6-RELATED-RELATED,Homeodomain-like
CG8136,True,0.9801,N/A,N/A,N/A
nom,True,0.9901,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
ouib,True,0.9935,Zinc-finger associated domain (zf-AD),ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG8159,True,0.9853,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
M1BP,True,0.9936,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
ranshi,True,0.9849,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
hb,True,0.998,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
sage,True,0.9786,Helix-loop-helix DNA-binding domain,IP14615P,"HLH, helix-loop-helix DNA-binding domain"
D1,True,0.9243,AT hook motif,N/A,N/A
CG16789,True,0.6176,ATPase family associated with various cellular activities (AAA),IQ MOTIF CONTAINING WITH AAA DOMAIN 1,P-loop containing nucleoside triphosphate hydrolases
CG8301,True,0.9911,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG8319,True,0.9547,Zinc-finger associated domain (zf-AD),TRANSCRIPTIONAL REPRESSOR CTCFL-RELATED,beta-beta-alpha zinc fingers
Unc-115a,True,0.805,LIM domain,ACTIN-BINDING LIM PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
Unc-115b,True,0.9114,LIM domain,ACTIN-BINDING LIM PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
mura,True,0.9898,Ring finger domain,GH10160P,RING/U-box
topi,True,0.8157,"Zinc finger, C2H2 type",KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
nerfin-2,True,0.9957,"Zinc finger, C2H2 type",INSULINOMA-ASSOCIATED 1,beta-beta-alpha zinc fingers
CG6254,True,0.8819,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
TAF1B,True,0.9992,"Zinc-finger of RNA-polymerase I-specific TFIIB, Rrn7",TATA BOX-BINDING PROTEIN-ASSOCIATED FACTOR RNA POLYMERASE I SUBUNIT B,N/A
jumu,True,0.9994,Forkhead domain,FORKHEAD BOX PROTEIN N1,"""Winged helix"" DNA-binding domain"
Rfx,True,0.9987,RFX DNA-binding domain,RFX TRANSCRIPTION FACTOR FAMILY,"""Winged helix"" DNA-binding domain"
Sirt6,True,0.5825,Sir2 family,"NAD-DEPENDENT PROTEIN DEACYLASE SIRTUIN-5, MITOCHONDRIAL-RELATED",DHS-like NAD/FAD-binding domain
Rrp46,True,0.6956,"3' exoribonuclease family, domain 1",EXOSOME COMPLEX COMPONENT,Ribonuclease PH domain 2-like
CG4570,True,0.9103,N/A,N/A,N/A
CG4820,True,0.9225,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
CG31441,True,0.9736,Zinc-finger associated domain (zf-AD),KRUEPPEL-LIKE TRANSCRIPTION FACTOR,Glucocorticoid receptor-like (DNA-binding domain)
CG31388,True,0.9969,Zinc-finger of C2H2 type,ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG6689,True,0.9839,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN 142,beta-beta-alpha zinc fingers
CG14710,True,0.9853,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG14711,True,0.998,Zinc-finger of C2H2 type,ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
CG18764,True,0.982,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN ZIC AND GLI,Glucocorticoid receptor-like (DNA-binding domain)
Fer3,True,0.9576,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, TWIST","HLH, helix-loop-helix DNA-binding domain"
CG18476,True,0.992,Zinc-finger associated domain (zf-AD),KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
CG6813,True,0.9385,Zinc-finger associated domain (zf-AD),AGAP004733-PA,Glucocorticoid receptor-like (DNA-binding domain)
Zaf1,True,0.9765,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG5245,True,0.9885,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
sim,True,0.9795,Hypoxia-inducible factor 1-alpha bHLH domain,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA,"HLH, helix-loop-helix DNA-binding domain"
Droj2,True,0.7916,DnaJ domain,"DNAJ-LIKE-2, ISOFORM A-RELATED",Chaperone J-domain
ems,True,0.9991,Homeodomain,HOMEOBOX PROTEIN EMX-RELATED,Homeodomain-like
E5,True,0.9976,Homeodomain,HOMEOBOX PROTEIN EMX-RELATED,Homeodomain-like
foxo,True,0.9994,Forkhead domain,FORKHEAD BOX PROTEIN O,"""Winged helix"" DNA-binding domain"
Abi,True,0.7887,Variant SH3 domain,ABL INTERACTOR FAMILY MEMBER,SH3-domain
NK7.1,True,0.9927,Homeodomain,HOMEOBOX PROTEIN NKX,Homeodomain-like
su(Hw),True,0.9984,C2H2-type zinc finger,PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
BigH1,True,0.6616,linker histone H1 and H5 family,N/A,"""Winged helix"" DNA-binding domain"
CG6654,True,0.996,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG5516,True,0.8232,Zinc knuckle,ZCCHC10 PROTEIN,Retrovirus zinc finger-like domains
GATAe,True,0.9955,GATA zinc finger,TRANSCRIPTION FACTOR GATA FAMILY MEMBER,Glucocorticoid receptor-like (DNA-binding domain)
pnr,True,0.9855,GATA zinc finger,TRANSCRIPTION FACTOR GATA FAMILY MEMBER,Glucocorticoid receptor-like (DNA-binding domain)
